[20-07-2015 08:49:48.881289] POST	Register
[20-07-2015 08:49:49.029047] GET	Login
[20-07-2015 08:49:54.690917] POST	Logout
[20-07-2015 08:49:54.747269] GET	Auth (old token)
[20-07-2015 08:49:54.886247] GET	Login
[20-07-2015 08:50:00.401399] POST	Logout
[20-07-2015 08:50:00.458106] GET	Auth (old token)
[20-07-2015 08:50:00.596461] GET	Login
[20-07-2015 08:50:07.269964] POST	Board Share
[20-07-2015 08:50:07.270047] POST	Board Create
[20-07-2015 08:50:09.708244] PUT	Board Edit
[20-07-2015 08:50:11.435783] GET	Board Get Single
[20-07-2015 08:50:14.458231] POST	Ticket Create
[20-07-2015 08:50:16.445470] GET	Version Img
[20-07-2015 08:50:18.008933] PUT	Ticket Move
[20-07-2015 08:50:20.656890] PUT	User Edit
[20-07-2015 08:50:22.348644] DELETE	Ticket Delete
[20-07-2015 08:50:26.685099] GET	Version Api
[20-07-2015 08:50:28.333138] GET	Version Img
[20-07-2015 08:50:30.162563] POST	Ticket Create
[20-07-2015 08:50:31.492077] POST	Board Share
[20-07-2015 08:50:31.492114] POST	Board Create
[20-07-2015 08:50:33.775887] PUT	User Edit
[20-07-2015 08:50:35.993286] DELETE	Ticket Delete
[20-07-2015 08:50:37.390453] GET	Board Get Tickets
[20-07-2015 08:50:39.357382] DELETE	Board Delete
[20-07-2015 08:50:43.162294] POST	Ticket Create
[20-07-2015 08:50:44.283524] DELETE	Ticket Delete
[20-07-2015 08:50:45.995603] GET	Version Api
[20-07-2015 08:50:47.627987] PUT	Board Set Activity
[20-07-2015 08:50:50.616958] GET	Board Get Single
[20-07-2015 08:50:53.069206] PUT	Board Set Activity
[20-07-2015 08:50:54.565090] PUT	Board Edit
[20-07-2015 08:50:59.928339] PUT	Board Set Activity
[20-07-2015 08:51:02.122465] GET	Board Get Single
[20-07-2015 08:51:04.123098] GET	Board Get Single
[20-07-2015 08:51:07.218410] POST	Board Share
[20-07-2015 08:51:07.218506] POST	Board Create
[20-07-2015 08:51:11.894687] PUT	Board Edit
[20-07-2015 08:51:16.916357] GET	Board Get Events
[20-07-2015 08:51:18.676903] PUT	Board Set Activity
[20-07-2015 08:51:19.855844] PUT	Board Edit
[20-07-2015 08:51:20.966597] PUT	Board Edit
[20-07-2015 08:51:24.876822] GET	Board Get All
[20-07-2015 08:51:29.051135] POST	Ticket Create
[20-07-2015 08:51:30.375939] PUT	Ticket Move
[20-07-2015 08:51:34.354882] POST	Logout
[20-07-2015 08:51:34.411263] GET	Auth (old token)
[20-07-2015 08:51:34.548985] GET	Login
[20-07-2015 08:51:35.787464] POST	Ticket Create
[20-07-2015 08:51:38.019962] PUT	Ticket Modify Content
[20-07-2015 08:51:40.128739] GET	Board Get Tickets
[20-07-2015 08:51:41.371924] GET	Board export as json
[20-07-2015 08:51:43.593875] PUT	Ticket Modify Content
[20-07-2015 08:51:46.539605] PUT	User Edit
[20-07-2015 08:51:48.183139] PUT	Board Edit
[20-07-2015 08:51:50.885256] PUT	Ticket Modify Content
[20-07-2015 08:51:53.544107] GET	Board Get Tickets
[20-07-2015 08:51:56.465814] DELETE	Board Delete
[20-07-2015 08:51:57.884748] PUT	Ticket Modify Content
[20-07-2015 08:52:00.194227] DELETE	Ticket Delete
[20-07-2015 08:52:02.608720] POST	Ticket Create
[20-07-2015 08:52:05.224247] POST	Ticket Create
[20-07-2015 08:52:07.134994] GET	Board Get Single
[20-07-2015 08:52:10.031537] GET	Board Get Single
[20-07-2015 08:52:11.766423] PUT	Ticket Modify Content
[20-07-2015 08:52:14.565411] POST	Board Share
[20-07-2015 08:52:14.565448] POST	Board Create
[20-07-2015 08:52:17.541735] DELETE	Board Delete
[20-07-2015 08:52:20.152356] GET	Auth request
[20-07-2015 08:52:23.073534] GET	Version Api
[20-07-2015 08:52:26.049214] POST	Logout
